muni_id,year,recipient_class,value_dis,n_loans
351240,2002,productive_firm,2638081,7
314760,2002,productive_firm,647812,3
353260,2002,productive_firm,195257,2
421380,2002,productive_firm,150654,1
320390,2002,productive_firm,524035,4
353475,2002,productive_firm,185780,3
355500,2002,productive_firm,2529623,10
353890,2002,productive_firm,349086,4
421950,2002,productive_firm,5044209,49
150420,2002,productive_firm,3507937,35
510263,2002,productive_firm,17385542,39
410310,2002,productive_firm,920294,7
431390,2002,productive_firm,7588700,41
230020,2002,productive_firm,125375612,10
317010,2002,productive_firm,9402446,68
432166,2002,productive_firm,389135,6
411180,2002,productive_firm,222805,5
314480,2002,productive_firm,3139256726,19
430535,2002,productive_firm,5516322,21
510790,2002,productive_firm,3805169,29
411850,2002,productive_firm,5296414,55
310200,2002,productive_firm,21207,1
220390,2002,productive_firm,600880,14
430110,2002,productive_firm,383013,5
310150,2002,productive_firm,845952,10
420435,2002,productive_firm,931331,11
410753,2002,productive_firm,102116,2
350390,2002,productive_firm,3946361,9
510840,2002,productive_firm,7717706,38
430480,2002,productive_firm,7638025,37
354340,2002,productive_firm,4376495021,133
293330,2002,productive_firm,7798090,27
314010,2002,productive_firm,5570,1
316860,2002,productive_firm,1331877,10
431330,2002,productive_firm,13871491,35
352090,2002,productive_firm,1376327,8
270930,2002,productive_firm,4926785,17
293325,2002,productive_firm,50000,1
313520,2002,productive_firm,76978,2
317040,2002,productive_firm,1091689,18
354370,2002,productive_firm,181238,3
353140,2002,productive_firm,2714469,11
330470,2002,productive_firm,188331,3
421170,2002,productive_firm,7794388,35
421480,2002,productive_firm,7201401,43
353282,2002,productive_firm,308709,3
316720,2002,productive_firm,1236674725,34
354330,2002,productive_firm,650620,11
352050,2002,productive_firm,10199883012,37
510795,2002,productive_firm,3655549,16
354390,2002,productive_firm,14919666,50
410490,2002,productive_firm,1802557,16
352760,2002,productive_firm,3599863,15
412575,2002,productive_firm,174598,3
410965,2002,productive_firm,215682,4
411440,2002,productive_firm,1090040,3
313380,2002,productive_firm,3332437,26
431140,2002,productive_firm,8396927,55
520910,2002,productive_firm,4121859,19
411840,2002,productive_firm,1484430,14
251370,2002,productive_firm,5128072,8
410445,2002,productive_firm,49957,2
310350,2002,productive_firm,1823516,25
313760,2002,productive_firm,1600190,7
410640,2002,productive_firm,443715,11
354160,2002,productive_firm,3178453345,10
420550,2002,productive_firm,3703654,28
350600,2002,productive_firm,18153082,53
316292,2002,productive_firm,3195538,7
351300,2002,productive_firm,6850220,43
355240,2002,productive_firm,5454924,19
292200,2002,productive_firm,1519037,4
430780,2002,productive_firm,3902888,14
317070,2002,productive_firm,4996888,27
320030,2002,productive_firm,2231118,7
354100,2002,productive_firm,3406362,24
261110,2002,productive_firm,2477011,19
430215,2002,productive_firm,10000,2
421620,2002,productive_firm,25780597052,19
320460,2002,productive_firm,480000,2
230765,2002,productive_firm,4372630821,27
250370,2002,productive_firm,695871,5
314600,2002,productive_firm,846864,6
350370,2002,productive_firm,20988580,34
0,2002,productive_firm,181845132644,95
350270,2002,productive_firm,171172,2
110028,2002,productive_firm,910542,6
412410,2002,productive_firm,2076160,3
431350,2002,productive_firm,690894,10
310020,2002,productive_firm,699531,2
311090,2002,productive_firm,213496,2
510704,2002,productive_firm,7950747,5
411940,2002,productive_firm,134946,1
353930,2002,productive_firm,10461424,23
510267,2002,productive_firm,595914,5
351380,2002,productive_firm,12259113,80
510622,2002,productive_firm,2984342,14
291680,2002,productive_firm,29970,1
313130,2002,productive_firm,1766838910,64
430960,2002,productive_firm,22386703,16
352000,2002,productive_firm,300877,4
510020,2002,productive_firm,1709803,11
315180,2002,productive_firm,8828005,36
410860,2002,productive_firm,461240,4
353970,2002,productive_firm,288075,3
430300,2002,productive_firm,6573801,24
310900,2002,productive_firm,806385,6
313960,2002,productive_firm,275537,3
431180,2002,productive_firm,3446076,17
350460,2002,productive_firm,900726,9
290570,2002,productive_firm,5452884432,114
410590,2002,productive_firm,2707841,17
432070,2002,productive_firm,620015,6
421690,2002,productive_firm,6593601,30
351830,2002,productive_firm,395464,6
310670,2002,productive_firm,18028146690,73
280210,2002,productive_firm,5550336,18
313665,2002,productive_firm,5282372,13
411900,2002,productive_firm,113113,2
310710,2002,productive_firm,153536,2
520350,2002,productive_firm,2152472,2
350620,2002,productive_firm,3802248,14
314070,2002,productive_firm,147960,5
110018,2002,productive_firm,810000,6
351500,2002,productive_firm,2456846,9
110002,2002,productive_firm,2813116,23
355330,2002,productive_firm,369143,4
410620,2002,productive_firm,404706,3
251080,2002,productive_firm,1186848,6
353130,2002,productive_firm,1258525,10
311180,2002,productive_firm,4549904,7
350240,2002,productive_firm,7718,1
431950,2002,productive_firm,946006,13
430140,2002,productive_firm,37405,2
355060,2002,productive_firm,1490123,14
354240,2002,productive_firm,10030,1
430270,2002,productive_firm,1974951,10
411480,2002,productive_firm,1207256,10
352450,2002,productive_firm,361286,7
355380,2002,productive_firm,652064,4
412300,2002,productive_firm,99000,1
411070,2002,productive_firm,1180248,10
354970,2002,productive_firm,1808271,13
354520,2002,productive_firm,9932555,25
261070,2002,productive_firm,401771,8
314790,2002,productive_firm,4629460,35
411700,2002,productive_firm,5e+05,1
350760,2002,productive_firm,3608873,24
355395,2002,productive_firm,10567215,22
353080,2002,productive_firm,1949091446,29
500370,2002,productive_firm,1623034,11
354800,2002,productive_firm,235142,3
411760,2002,productive_firm,2830861,17
240710,2002,productive_firm,4698173,19
353050,2002,productive_firm,300613216,10
421850,2002,productive_firm,321396,6
310420,2002,productive_firm,10672179,18
350850,2002,productive_firm,1144997,9
312125,2002,productive_firm,11988028,36
412060,2002,productive_firm,680004,9
290810,2002,productive_firm,699103,9
350070,2002,productive_firm,4733188,18
240420,2002,productive_firm,366396,2
291072,2002,productive_firm,2928139,13
290930,2002,productive_firm,222900,2
350450,2002,productive_firm,391401,6
