instrument,office,cnae_section,beta_hat,se,t_stat,p_value,t_sq,w_partial_wald,w_gpss_proj,rank_partial_wald
Z_mayor_coalition_cycle_specific_K,mayor,K,0.0442472953023208,0.140913648495794,0.314002907274389,0.75353059195623,0.0985978257767686,0.00071651867623215,0.000373771533782064,43
Z_pres_coalition_cycle_specific_D,pres,D,-0.224386847544691,0.79149993279089,-0.283495725329358,0.776807396040492,0.0803698262800187,0.00058405427382898,0.00189546989469665,44
Z_gov_coalition_cycle_specific_F,gov,F,-0.0214480720200912,0.0761034960592117,-0.281827683755864,0.778086114241435,0.0794268433311955,0.000577201537585789,0.000181178956156382,45
Z_mayor_coalition_cycle_specific_J,mayor,J,-0.0217184919906773,0.0798476543802599,-0.271999123321106,0.785632776490779,0.07398352308745,0.000537644472461588,0.000183463283062257,46
Z_mayor_coalition_cycle_specific_O,mayor,O,-4.97571901882434,18.3672729885207,-0.270901348389285,0.786476947712409,0.0733875405591329,0.000533313417401469,0.0420315437729595,47
Z_pres_coalition_cycle_specific_S,pres,S,0.112392118509097,0.456282625090909,0.246321276175494,0.805442619470301,0.0606741710967238,0.000440924294356507,0.000949413387488056,48
Z_mayor_coalition_cycle_specific_T,mayor,T,-2.21645633199273,9.05530469315988,-0.244768829663676,0.806644448161803,0.0599117799749254,0.000435383934079203,0.0187231395073868,49
Z_pres_coalition_cycle_specific_O,pres,O,5.71377003961664,24.5998869814784,0.232268141878806,0.816338289628144,0.0539484897318333,0.000392048203323412,0.0482661047820815,50
Z_mayor_coalition_cycle_specific_B,mayor,B,0.0415748432048408,0.226825761697321,0.183289776671482,0.854577328019599,0.0335951422322818,0.000244138718581937,0.000351196447268656,51
Z_gov_coalition_cycle_specific_J,gov,J,0.0110857724651936,0.060812128386368,0.182295419669585,0.855357528176683,0.0332316200325101,0.000241496972242102,9.36451855229458e-05,52
Z_mayor_coalition_cycle_specific_A,mayor,A,-0.0114744334026087,0.0693027150276823,-0.165569752902542,0.868501562276909,0.0274133430762089,0.000199215065213852,9.69283329719871e-05,53
Z_mayor_coalition_cycle_specific_I,mayor,I,0.0122551066012992,0.100593282534468,0.121828280105085,0.903039412069288,0.0148421298333631,0.000107859003349065,0.000103522937610834,54
Z_pres_coalition_cycle_specific_J,pres,J,-0.00840957314638705,0.117867210619002,-0.0713478591902071,0.943123468095651,0.00509051701102562,3.69932144176826e-05,7.10384449919741e-05,55
Z_gov_coalition_cycle_specific_Q,gov,Q,0.00534232745488807,0.215358913306408,0.0248066233845038,0.980210096768587,0.000615368563740612,4.47193500680815e-06,4.51284064514292e-05,56
Z_pres_coalition_cycle_specific_A,pres,A,0.000875169917204891,0.0867870786825669,0.0100841038837811,0.991954546767787,0.00010168915113889,7.38983597124874e-07,7.39284966546728e-06,57
