row_type,ref_election,state_id,state_gov_shock_mag,state_gov_shock_signed,n_munis,state_pre_dlog_gdp,n_muni_yr,cor_signed
state_cycle_cell,2016,12,0.000541145503964209,-0.000541145503964209,22,0.0474953818204953,66,
state_cycle_cell,2016,13,0.00244812939080619,0.00146727892952398,62,0.0286795776643788,186,
state_cycle_cell,2016,14,0.000118722331987148,-0.000118722331987148,15,0.0416132747412263,45,
state_cycle_cell,2016,15,0.00127128251077361,0.00114197616052802,144,0.048042006721117,431,
state_cycle_cell,2016,16,0.000915473695594471,0.000581461825886316,16,0.0104171222197071,48,
state_cycle_cell,2016,17,0.00148528063531238,-0.00039827511740922,139,0.0356933159168503,417,
state_cycle_cell,2016,21,0.00223605759764186,-0.000982988564029057,217,0.0412117625194371,650,
state_cycle_cell,2016,22,0.00183260358349772,-0.000633265692372319,224,0.0481968081943953,672,
state_cycle_cell,2016,23,0.00126721915432469,-0.000262265330460511,184,0.049110119566269,552,
state_cycle_cell,2016,24,0.0012841508660759,-7.51545501284565e-05,167,0.026955330498908,500,
state_cycle_cell,2016,25,0.00100664091631424,0.000114377614699713,223,0.0339878239356977,669,
state_cycle_cell,2016,26,0.00146570933217658,-0.00013504691362143,185,0.0132848132107242,555,
state_cycle_cell,2016,27,0.00217639908032213,0.000336982933292267,102,0.0383859623032016,306,
state_cycle_cell,2016,28,0.00134763066382555,-0.000648005777916443,75,0.00545946329602278,225,
state_cycle_cell,2016,29,0.000759762496623793,0.000246187391443609,417,0.0395939896714178,1251,
state_cycle_cell,2016,31,0.00276821104981986,-0.00116662436447585,853,0.00214262885844865,2559,
state_cycle_cell,2016,32,0.0020980672578803,-0.00159468006913099,78,-0.0224308653057002,234,
state_cycle_cell,2016,33,0.000962547102394945,-0.000121829863704884,92,-0.0112525080103199,276,
state_cycle_cell,2016,35,0.00092761899127346,-0.000485292061885539,645,0.017513619359436,1935,
state_cycle_cell,2016,41,0.0005720719128421,0.000521008210195605,399,0.0427363775929829,1197,
state_cycle_cell,2016,42,0.00156188051329955,-1.00920902705746e-05,295,0.0049131468561752,883,
state_cycle_cell,2016,43,0.00219672212705479,0.00122034418034803,498,0.0714476927667704,1490,
state_cycle_cell,2016,50,0.00244305797990964,-0.00224730002567118,79,0.0378792665466666,236,
state_cycle_cell,2016,51,0.0026614710752146,9.06376784176361e-05,141,0.0317769347373809,423,
state_cycle_cell,2016,52,0.00146665344068823,0.000859645629668638,246,0.0141084351976215,738,
state_cycle_cell,2016,53,0.000904088570257007,-0.000904088570257007,1,0.0216618703208162,3,
per_cycle_correlation,2004,,,,27,0.153341767125146,,-0.0820434746910341
per_cycle_correlation,2008,,,,27,-0.063572463644032,,-0.19332722103049
per_cycle_correlation,2012,,,,27,-0.113416880851189,,-0.0158897649274356
per_cycle_correlation,2016,,,,27,-0.024028597114486,,0.287224989690129
pooled_correlation,,,,,108,0.063661965926396,,-0.0107546151249221
