uf,muni_key,year,value_dis_main,n_loans_main,value_dis_pa,n_loans_pa,in_main,in_pa
ES,DOMINGOS MARTINS,2008,228000,1,228000,1,TRUE,TRUE
ES,DOMINGOS MARTINS,2011,944600,1,944600,1,TRUE,TRUE
ES,GUARAPARI,2004,466589,1,466589,1,TRUE,TRUE
ES,GUARAPARI,2010,717341,1,,,TRUE,FALSE
ES,ICONHA,2011,952900,1,952900,1,TRUE,TRUE
ES,MANTENOPOLIS,2010,677000,1,677000,1,TRUE,TRUE
ES,MARATAIZES,2007,329990,2,329990,2,TRUE,TRUE
ES,MIMOSO DO SUL,2008,863500,1,863500,1,TRUE,TRUE
ES,MONTANHA,2007,524976,2,524976,2,TRUE,TRUE
ES,MUQUI,2007,556900,3,556900,3,TRUE,TRUE
ES,SANTA LEOPOLDINA,2008,700000,1,700000,1,TRUE,TRUE
ES,SANTA TERESA,2008,863500,1,863500,1,TRUE,TRUE
ES,SAO MATEUS,2008,86111081,1,861111,1,TRUE,TRUE
ES,SAO MATEUS,2015,2137850,1,2137850,1,TRUE,TRUE
ES,SEM MUNICIPIO,2006,1598487353,1,,,TRUE,FALSE
ES,SEM MUNICIPIO,2008,6573872256,6,,,TRUE,FALSE
ES,SEM MUNICIPIO,2009,6226489998,2,,,TRUE,FALSE
ES,SEM MUNICIPIO,2010,15999999994,2,,,TRUE,FALSE
ES,SEM MUNICIPIO,2012,283153652701,2,,,TRUE,FALSE
ES,SEM MUNICIPIO,2013,1499999997,1,,,TRUE,FALSE
ES,SEM MUNICIPIO,2014,1501798001,1,,,TRUE,FALSE
ES,SEM MUNICIPIO,2015,162100649,1,,,TRUE,FALSE
ES,SEM MUNICIPIO,2016,1542664094,1,,,TRUE,FALSE
ES,SERRA,2005,80448885733,1,,,TRUE,FALSE
ES,SERRA,2008,2005786664,2,21283088,2,TRUE,TRUE
ES,SERRA,2010,1207563598,2,,,TRUE,FALSE
ES,SERRA,2014,941469378,1,9414694,1,TRUE,TRUE
ES,VARGEM ALTA,2009,797200,1,797200,1,TRUE,TRUE
ES,VARGEM ALTA,2010,1229900,1,1229900,1,TRUE,TRUE
ES,VIANA,2004,436296,1,436296,1,TRUE,TRUE
ES,VILA VELHA,2003,656431143,1,6564311,1,TRUE,TRUE
ES,VILA VELHA,2008,2060019793,2,20600198,2,TRUE,TRUE
ES,VILA VELHA,2012,1106188156,1,11061882,1,TRUE,TRUE
ES,VITORIA,2004,1041645964,1,10416460,1,TRUE,TRUE
ES,VITORIA,2005,10450888221,1,,,TRUE,FALSE
ES,VITORIA,2007,1548132085,3,18439573,3,TRUE,TRUE
ES,VITORIA,2008,967500,1,967500,1,TRUE,TRUE
ES,VITORIA,2009,12652463929,6,,,TRUE,FALSE
ES,VITORIA,2010,17062666329,3,80626663,2,TRUE,TRUE
ES,VITORIA,2012,11722188673,2,,,TRUE,FALSE
ES,VITORIA,2014,1182416024,3,11803716,1,TRUE,TRUE
GO,-,2010,,,284310000,2,FALSE,TRUE
GO,-,2012,,,1474046046,1,FALSE,TRUE
GO,-,2013,,,260416043,1,FALSE,TRUE
GO,ALEXANIA,2015,1250000,1,1250000,1,TRUE,TRUE
GO,APARECIDA DE GOIANIA,2007,1979000,2,1979000,2,TRUE,TRUE
GO,APARECIDA DE GOIANIA,2015,2534900629,2,37144710,2,TRUE,TRUE
GO,BOM JESUS DE GOIAS,2003,139995,1,139995,1,TRUE,TRUE
GO,CACHOEIRA ALTA,2014,479990,1,479990,1,TRUE,TRUE
GO,CACU,2008,345400,1,345400,1,TRUE,TRUE
GO,CARMO DO RIO VERDE,2007,349756,1,349756,1,TRUE,TRUE
GO,CATALAO,2016,10897886,2,11439380,2,TRUE,TRUE
GO,CHAPADAO DO CEU,2009,345400,1,345400,1,TRUE,TRUE
GO,CRIXAS,2009,345400,1,345400,1,TRUE,TRUE
GO,GOIANESIA,2003,8874679,1,887468,1,TRUE,TRUE
GO,GOIANESIA,2015,3000000,1,3000000,1,TRUE,TRUE
GO,GOIANIA,2010,17058599995,1,,,TRUE,FALSE
GO,GOIANIRA,2017,1977300,2,1977300,2,TRUE,TRUE
GO,INACIOLANDIA,2007,197982,1,197982,1,TRUE,TRUE
GO,INDIARA,2011,340150,1,340150,1,TRUE,TRUE
GO,ITAPURANGA,2010,385000,1,385000,1,TRUE,TRUE
GO,ITUMBIARA,2016,3594843,1,3594843,1,TRUE,TRUE
GO,JATAI,2010,3000000,1,3000000,1,TRUE,TRUE
GO,JOVIANIA,2015,283800,1,283800,1,TRUE,TRUE
GO,JUSSARA,2008,240750,1,240750,1,TRUE,TRUE
GO,MATRINCHA,2008,328994,1,328994,1,TRUE,TRUE
GO,PALMEIRAS DE GOIAS,2004,33085358,1,330854,1,TRUE,TRUE
GO,PALMEIRAS DE GOIAS,2015,530000,1,530000,1,TRUE,TRUE
GO,QUIRINOPOLIS,2007,791980,1,791980,1,TRUE,TRUE
GO,SANTA HELENA DE GOIAS,2015,1016700,1,1016700,1,TRUE,TRUE
GO,SEM MUNICIPIO,2002,151743815,1,,,TRUE,FALSE
GO,SEM MUNICIPIO,2006,18692927254,3,,,TRUE,FALSE
GO,SEM MUNICIPIO,2009,2319312027,1,,,TRUE,FALSE
GO,SEM MUNICIPIO,2010,11372399999,1,,,TRUE,FALSE
GO,SEM MUNICIPIO,2011,185513982,7,,,TRUE,FALSE
GO,SEM MUNICIPIO,2012,146197566849,1,,,TRUE,FALSE
GO,SEM MUNICIPIO,2013,26041604328,1,,,TRUE,FALSE
GO,SENADOR CANEDO,2016,7760169,1,11739084,1,TRUE,TRUE
IE,SEM MUNICIPIO,2008,116247571718,3,,,TRUE,FALSE
IE,SEM MUNICIPIO,2009,1510999574063,2,,,TRUE,FALSE
IE,SEM MUNICIPIO,2010,22399999998,2,,,TRUE,FALSE
IE,SEM MUNICIPIO,2011,60920804641,10,,,TRUE,FALSE
IE,SEM MUNICIPIO,2012,550032898314,9,,,TRUE,FALSE
IE,SEM MUNICIPIO,2013,92538053853,15,,,TRUE,FALSE
IE,SEM MUNICIPIO,2014,23362925299,8,,,TRUE,FALSE
IE,SEM MUNICIPIO,2015,7703296092,3,,,TRUE,FALSE
IE,SEM MUNICIPIO,2016,5629596463,1,,,TRUE,FALSE
IE,SEM MUNICIPIO,2017,132959205442,1,,,TRUE,FALSE
MA,-,2004,,,3249403,1,FALSE,TRUE
MA,-,2009,,,298392200,2,FALSE,TRUE
MA,-,2010,,,433092000,1,FALSE,TRUE
MA,-,2013,,,3856910839,4,FALSE,TRUE
MA,FORTALEZA DOS NOGUEIRAS,2008,400700,1,400700,1,TRUE,TRUE
MA,IMPERATRIZ,2003,143999999,1,1440000,1,TRUE,TRUE
MA,SAO JOSE DE RIBAMAR,2016,6139166,1,6139166,1,TRUE,TRUE
MA,SAO LUIS,2003,1996987,5,1996987,5,TRUE,TRUE
MA,SAO LUIS,2007,4762304,4,4762304,4,TRUE,TRUE
MA,SAO LUIS,2008,6839883,1,,,TRUE,FALSE
MA,SAO LUIS,2010,44420699997,2,11115000,1,TRUE,TRUE
MA,SAO LUIS,2011,623999996,2,,,TRUE,FALSE
MA,SAO LUIS,2015,2887236002,1,31026800,1,TRUE,TRUE
MA,SAO RAIMUNDO DAS MANGABEIRAS,2011,1247000,1,1247000,1,TRUE,TRUE
MA,SEM MUNICIPIO,2004,324940322,1,,,TRUE,FALSE
MA,SEM MUNICIPIO,2009,34094616228,4,,,TRUE,FALSE
