outcome,model_type,spec,shift,channel,term,estimate,std_error,t_value,p_value
emp_share_jmt,joint_channel,BASE,DIF,ALL,Z_MG,0.00381453457121997,0.00506408739182576,0.753252121473504,0.506021591436022
emp_share_jmt,joint_channel,BASE,DIF,ALL,Z_MGP,-0.0105103092731554,0.00917381419757886,-1.14568586705509,0.33503282438362
emp_share_jmt,joint_channel,BASE,DIF,ALL,Z_MP,0.0115203313751158,0.013426035945404,0.858059029631861,0.453946573282074
emp_share_jmt,joint_channel,BASE,LEV,ALL,Z_M,-0.00645335198394513,0.00861110735522443,-0.749421847589652,0.508016039845876
emp_share_jmt,joint_channel,BASE,LEV,ALL,Z_MG,0.00707157456480258,0.0119666506664324,0.590940168800869,0.596127610233954
emp_share_jmt,joint_channel,BASE,LEV,ALL,Z_MGP,-0.0112927801921186,0.0189441587651166,-0.596108823418061,0.593084687148238
emp_share_jmt,joint_channel,BASE,LEV,ALL,Z_MP,0.00520270832576812,0.00160171191209002,3.24821728957443,0.0475537138321428
emp_share_jmt,joint_channel,VAR-A,DIF,ALL,Z_M,-0.0158342095418636,0.073467565588653,-0.215526530857438,0.843178325162471
emp_share_jmt,joint_channel,VAR-A,DIF,ALL,Z_MG,0.00318638259939065,0.0429466711190945,0.0741939367210687,0.945526259651371
emp_share_jmt,joint_channel,VAR-A,DIF,ALL,Z_MGP,-0.0382985831548267,0.0319709089542119,-1.1979197466571,0.316961039784115
emp_share_jmt,joint_channel,VAR-A,DIF,ALL,Z_MP,0.0321141157776888,0.0478059274820326,0.671760124092532,0.549839603370698
emp_share_jmt,joint_channel,VAR-A,LEV,ALL,Z_M,-0.0170527086443101,0.0328961312416988,-0.518380368774012,0.640000735512909
emp_share_jmt,joint_channel,VAR-A,LEV,ALL,Z_MG,0.0209620267300141,0.0465430557169052,0.450379254372857,0.682994158923467
emp_share_jmt,joint_channel,VAR-A,LEV,ALL,Z_MGP,-0.0437786373879646,0.0906720779487144,-0.482823801752139,0.662262981520765
emp_share_jmt,joint_channel,VAR-A,LEV,ALL,Z_MP,-0.00366279029458482,0.00677142682893893,-0.540918537128869,0.626145384896643
emp_share_jmt,joint_channel,VAR-B,DIF,ALL,Z_M,0.0117912710283571,0.0210258907853861,0.560797692174476,0.614093583598203
emp_share_jmt,joint_channel,VAR-B,DIF,ALL,Z_MG,-0.011045076393047,0.0110943218294011,-0.995561203549762,0.392841723061907
emp_share_jmt,joint_channel,VAR-B,DIF,ALL,Z_MGP,0.0166779170665154,0.0112796993507621,1.4785781560205,0.235789258864711
emp_share_jmt,joint_channel,VAR-B,DIF,ALL,Z_MP,-0.0028103790831391,0.0148066475639391,-0.189805225727372,0.861578278014748
